"","KE ID","AOP ID","Molecular Pathways"
"195","Reduction Vitellogenin Synthesis In Liver","Aromatase inhibition leading to reproductive dysfunction","ABNORMAL LIVER MORPHOLOGY"
"196","Decreased Transcription Of Genes By Ar","Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)","GO:0010468"
"197","Accumulation Triglyceride","LXR activation leading to hepatic steatosis","TRIGLYCERIDE METABOLIC PROCESS"
"198","Induction Upregulation Of Glucuronyltransferase Activity","Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","GO:0003824"
"199","Insufficiency Vascular","Disruption of VEGFR Signaling Leading to Developmental Defects","GO:0008015"
"200","Reduction 17beta-Estradiol Synthesis By Ovarian Granulosa Cells","Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female","GO:0006703"
"201","Inhibition Vegfr2","Disruption of VEGFR Signaling Leading to Developmental Defects","CTOME VEGFR2 MEDIATED CELL PROLIFERATION"
"202","Increase Vitellogenin Synthesis In Liver","Estrogen receptor agonism leading to reproductive dysfunction","ABNORMAL LIVER MORPHOLOGY"
"203","Reduction Vitellogenin Accumulation Into Oocytes And Oocyte Growth/Development","Aromatase inhibition leading to reproductive dysfunction","GO:0006898"
"204","Alteration Wnt Pathway","Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)","GO:0016055"
"205","Increase Allergic Respiratory Hypersensitivity Response","Covalent Binding, Protein, leading to Increase, Allergic Respiratory Hypersensitivity Response","IMMUNOLOGIC HYPERSENSITIVITY"
"206","Altered Cardiovascular Development/Function","Aryl hydrocarbon receptor activation leading to early life stage mortality, via reduced VEGF","GO:0072358"
"207","N/A Cyanosis Occurs","Oxidation of iron in hemoglobin leading to hematotoxicity","CYANOSIS"
"208","Increased Disease Susceptibility","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","INCREASED SUSCEPTIBILITY TO FRACTURES"
"209","Accumulation Fatty Acid","Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis","ABNORMAL CIRCULATING FATTY ACID CONCENTRATION"
"210","Promotion Hepatocelluar Carcinoma","Uncharacterized liver damage leading to hepatocellular carcinoma","CARCINOMA"
"211","Increase Heritable Mutations In Offspring","Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations","NCRNAS INVOLVED IN WNT SIGNALING IN HEPATOCELLULAR CARCINOMA"
"212","N/A Impairment Of Reproductive Capacity","Androgen receptor antagonism leading to adverse effects in the male foetus (mammals)","ABNORMALITY OF REPRODUCTIVE SYSTEM PHYSIOLOGY"
"213","Altered Larval Development","Estrogen receptor agonism leading to reproductive dysfunction","HEART DEVELOPMENT"
"214","Impairment Learning And Memory","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities","GO:0007612"
"215","N/A Liver Fibrosis","Protein Alkylation leading to Liver Fibrosis","ABNORMAL LIVER MORPHOLOGY"
"216","Formation Liver Tumor","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","ABNORMAL LIVER MORPHOLOGY"
"217","Malformation Male Reproductive Tract","PPARα activation in utero leading to impaired fertility in males","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"218","Increase Mortality","Ecdysone receptor agonism leading to incomplete ecdysis associated mortality","MORTALITY AGING"
"219","Increased Mortality","Acetylcholinesterase inhibition leading to acute mortality","MORTALITY AGING"
"220","N/A Neurodegeneration","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging","NEURODEGENERATION"
"221","Cholestasis Pathology","Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)","CHOLESTASIS"
"222","Inhibition Aromatase","Aromatase inhibition leading to reproductive dysfunction","GO:0070330"
"223","Altered Reproductive Behaviour","Estrogen receptor agonism leading to reproductive dysfunction","GO:0019098"
"224","Impaired Development Of Reproductive Organs","Estrogen receptor agonism leading to reproductive dysfunction","ABNORMALITY OF THE ABDOMINAL ORGANS"
"225","Formation Pro-Mutagenic Dna Adducts","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","GO:0006305"
"226","Increased Induced Mutations In Critical Genes","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","SOMATIC MUTATION"
"227","Tumorigenesis Hepatocellular Carcinoma","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","HEPATOCELLULAR CARCINOMA"
"228","Aberrant Dendritic Morphology","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities","GO:0048813"
"229","Reduced Presynaptic Release Of Glutamate","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities","SYNAPTIC TRANSMISSION GLUTAMATERGIC"
"230","Overactivation Nmdars","Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.","CTOME ACTIVATION OF AMPK DOWNSTREAM OF NMDARS"
"231","Increased Intracellular Calcium Overload","Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.","POSITIVE REGULATION OF CALCIUM ION TRANSPORT"
"232","Covalent Binding Protein","Covalent Protein binding leading to Skin Sensitisation","GO:0005515"
"233","Activation Dendritic Cells","Covalent Protein binding leading to Skin Sensitisation","GO:0001775"
"234","Suppression Immune System","Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility","GO:0044414"
"235","Irregularities Ovarian Cycle","Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female","GO:0042698"
"236","Impaired Fertility","Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female","DECREASED FERTILITY"
"237","Reduction In Ovarian Granulosa Cells Aromatase Cyp19a1","Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female","GO:0070330"
"238","Metabolism Of Afb1 Production Of Reactive Electrophiles","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","GO:0008152"
"239","Inhibition Bile Salt Export Pump Abcb11","Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11)","BILE ACID AND BILE SALT TRANSPORT"
"240","Reduction Testosterone Synthesis In Leydig Cells","PPARα activation leading to impaired fertility in adult male rodents","GO:0061370"
"241","Increase Luteinizing Hormone Lh","PPARα activation leading to impaired fertility in adult male rodents","GO:0042446"
"242","Hyperplasia Leydig Cell","PPARα activation leading to impaired fertility in adult male rodents","LEYDIG CELL DIFFERENTIATION"
"243","Increase Proliferation Leydig Cell","PPARα activation leading to impaired fertility in adult male rodents","GO:0008283"
"244","Inhibition Na+/I- Symporter Nis","XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","CELLULAR SODIUM ION HOMEOSTASIS"
"245","Increased Atrioventricular Block And Bradycardia","Sodium channel inhibition leading to congenital malformations","BRADYCARDIA"
"246","Increased Respiratory Distress/Arrest","Acetylcholinesterase inhibition leading to acute mortality","ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY"
"247","Reduction Cholesterol Transport In Mitochondria","PPARα activation leading to impaired fertility in adult male rodents","GO:0006839"
"248","Suppression Vldl Secretion","AhR activation leading to hepatic steatosis","GO:0046903"
"249","Inhibition Mitochondrial Fatty Acid Beta-Oxidation","AhR activation leading to hepatic steatosis","GO:0006635"
"250","Increased Triglyceride Formation","NR1I3 (CAR) suppression leading to hepatic steatosis","GO:0009058"
"251","Suppression Constitutive Androstane Receptor Nr1l3","NR1I3 (CAR) suppression leading to hepatic steatosis","CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY"
"252","Activation Srebf1","NR1I3 (CAR) suppression leading to hepatic steatosis","CTOME ACTIVATION OF GENE EXPRESSION BY SREBF SREBP"""
"253","Increased De Novo Fa Synthesis","NR1I3 (CAR) suppression leading to hepatic steatosis","GO:0006633"
"254","Increased Liver Steatosis","NR1I3 (CAR) suppression leading to hepatic steatosis","ABNORMALITY OF THE LIVER"
"255","Up Regulation Fas","NR1I3 (CAR) suppression leading to hepatic steatosis","FAS LIGAND FASL PATHWAY AND STRESS INDUCTION OF HEAT SHOCK PROTEINS HSP REGULATION"
"256","Increased Fa Influx","AhR activation leading to hepatic steatosis","GO:0015908"
"257","Up Regulation Ldlr Low Density Lipoprotein Receptor","AhR activation leading to hepatic steatosis","LOW DENSITY LIPOPROTEIN RECEPTOR PARTICLE METABOLIC PROCESS"
"258","Increased Ldl Uptake","AhR activation leading to hepatic steatosis","GO:0006898"
"259","Inhibition Ppar Alpha","NR1I3 (CAR) suppression leading to hepatic steatosis","GO:0035357"
"260","Up Regulation Acetyl-Coa Carboxylase-1 Acc-1","NR1I3 (CAR) suppression leading to hepatic steatosis","CTOME FATTY ACYL COA BIOSYNTHESIS"
"261","Decreased Ketogenesis","NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis","CTOME SYNTHESIS OF KETONE BODIES"
"262","Activation Nrf2","NFE2L2/FXR activation leading to hepatic steatosis","NRF2 PATHWAY"
"263","Activation Nr1h4","NFE2L2/FXR activation leading to hepatic steatosis","FARNESOID X RECEPTOR PATHWAY"
"264","Decreased Dhb4/Hsd17b4","NFE2L2/FXR activation leading to hepatic steatosis","GO:0003824"
"265","Activation Lxr Alpha","NFE2L2/FXR activation leading to hepatic steatosis","LIVER X RECEPTOR PATHWAY"
"266","Activation Lxr Alpha","NFE2L2/FXR activation leading to hepatic steatosis","GO:0035357"
"267","Decrease Ovulation","Cyclooxygenase inhibition leading to reproductive dysfunction","GO:0030728"
"268","Decrease Ovulation","Cyclooxygenase inhibition leading to reproductive dysfunction","OVULATION"
"269","Reduction Ca And Hco3 Transport To Shell Gland","Cyclooxygenase inhibition leading reproductive failure","GO:0006816"
"270","Clonal Expansion/Cell Proliferation To Form Altered Hepatic Foci Ahf","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","ABNORMAL FORM OF THE VERTEBRAL BODIES"
"271","Increased Insufficient Repair Or Mis-Repair Of Pro-Mutagenic Dna Adducts","AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC)","GO:0006281"
"272","Repressed Expression Of Steroidogenic Enzymes","Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility","GO:0042446"
"273","Increased Apoptosis Decreased Leydig Cells","Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility","ABNORMALITY OF THE LEYDIG CELLS"
"274","Increased Apoptosis Decreased Leydig Cells","Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility","GO:0006915"
"275","Increase Ca++ Intracellular","Calcium-mediated neuronal ROS production and energy imbalance","POSITIVE REGULATION OF CALCIUM ION TRANSPORT"
"276","Inhibition Ca++ Atpase","Calcium-mediated neuronal ROS production and energy imbalance","REGULATION OF ATPASE ACTIVITY"
"277","Decreased Calcium Influx","Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities","GO:0006816"
"278","Decreased Sperm Quantity Or Quality In The Adult Decreased Fertility","Modulation of Adult Leydig Cell Function Subsequent to Proteomic Alterations in the Adult Leydig Cell","DECREASED FERTILITY"
"279","N/A Cell Injury/Death","Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.","REGULATION OF CELL DEATH"
"280","Activation Nicotinic Acetylcholine Receptor","Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony death/failure 1","GO:0015464"
"281","Abnormal Foraging Activity And Behavior","Nicotinic acetylcholine receptor activation contributes to abnormal foraging and leads to colony death/failure 1","ABNORMAL SOCIAL BEHAVIOR"
"282","Reduced Brood Care","Nicotinic acetylcholine receptor activation contributes to abnormal role change within the worker bee caste leading to colony death failure 1","GO:0019098"
"283","Proliferation Cell Proliferation In The Absence Of Cytotoxicity","Uncharacterized liver damage leading to hepatocellular carcinoma","GO:0008283"
"284","Accumulation Damaged Mitochondrial Dna","Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure","GO:0009611"
"285","Accelerated Aging","Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure","GO:0007568"
"286","Increase Energetic Demands And Therefore Metabolic Stress","Increased metabolic stress contributes to abnormal foraging and leads to colony loss/failure","OXIDATIVE STRESS"
"287","Increased Appetite And Hunger","Increased metabolic stress contributes to abnormal foraging and leads to colony loss/failure","REGULATION OF APPETITE"
"288","Impaired Development","Suppression of immune system contributes to impaired development and leads to colony loss/failure","HEART DEVELOPMENT"
"289","Decreased Glucose Oxidase Enzyme Activity","Decrease Glucose oxidase activity contributes to reduction of antiseptic in food and leads to colony loss/failure","GO:0046562"
"290","Decreased Hydrogen Peroxide Production","Decrease Glucose oxidase activity contributes to reduction of antiseptic in food and leads to colony loss/failure","GO:0050665"
"291","Inhibition Sodium Channel","Sodium channel inhibition leading to reduced survival","REGULATION OF SODIUM ION TRANSPORT"
"292","Reduced Swimming Speed","Sodium channel inhibition leading to reduced survival","LOCOMOTORY BEHAVIOR"
"293","N/A Hypoxia","Sodium channel inhibition leading to congenital malformations","CTOME CELLULAR RESPONSE TO HYPOXIA"
"294","Increased Amputations","Sodium channel inhibition leading to congenital malformations","INCREASED HEMOGLOBIN"
"295","Inhibition Ether-A-Go-Go Erg Voltage-Gated Potassium Channel","Ether-a-go-go (ERG) voltage-gated potassium channel inhibition leading to reduced survival","REGULATION OF POTASSIUM ION TRANSPORT"
"296","Modulation Sodium Channel","Axonal sodium channel modulation leading to acute mortality","REGULATION OF SODIUM ION TRANSPORT"
"297","Prolonged Depolarization Of Neuronal Membrane","Axonal sodium channel modulation leading to acute mortality","GO:0051899"
"298","Overactivation Neuronotransmitter Release","Axonal sodium channel modulation leading to acute mortality","GO:0007269"
"299","Overactivation Muscle Contraction","Axonal sodium channel modulation leading to acute mortality","GO:0006936"
"300","Increased Ataxia Paralysis Or Hyperactivity","Axonal sodium channel modulation leading to acute mortality","HYPERACTIVITY"
"301","Occurrence Epileptic Seizure","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","PSYCHOGENIC NON EPILEPTIC SEIZURE"
"302","Occurrence A Paroxysmal Depolarizing Shift","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","GO:0051899"
"303","Decreased Neuronal Network Function In Adult Brain","Binding of agonists to ionotropic glutamate receptors in adult brain causes excitotoxicity that mediates neuronal cell death, contributing to learning and memory impairment.","GO:0099536"
"304","Increased Locomotion","5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to population decline","GO:0040011"
"305","Increased Serotonin 5-Ht","5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to decreased shelter seeking and increased predation","GO:0001820"
"306","Decreased Anxiety","5-hydroxytryptamine transporter (5-HTT; SERT) inhibition leading to decreased shelter seeking and increased predation","SEROTONIN AND ANXIETY"
"307","Decrease Histaminergic Neuron Excitation","Histamine (H2) receptor antagonism leading to reduced survival","UPPER MOTOR NEURON DYSFUNCTION"
"308","Decreased Locomotion","Histamine (H2) receptor antagonism leading to reduced survival","GO:0040011"
"309","Antagonism Histamine Receptor H2","Histamine (H2) receptor antagonism leading to reduced survival","RESPONSE TO HISTAMINE"
"310","Reduction Ionotropic Gaba Receptor Chloride Channel Conductance","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","GO:0022851"
"311","Decrease Bioactivation Of Testosterone","Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis","GO:0061370"
"312","Desensitization Nicotinic Acetylcholine Receptor","Nicotinic acetylcholine receptor activation followed by desensitization contributes to abnormal foraging and directly leads to colony loss/failure","GO:0030545"
"313","Overwhelmed Mitochondrial Dna Repair Mechanisms","Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure","GO:0006281"
"314","Binding At Picrotoxin Site Igabar Chloride Channel","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","REGULATION OF CHLORIDE TRANSPORT"
"315","Reduction Neuronal Synaptic Inhibition","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","GO:0007268"
"316","Reduced Prostaglandin F2alpha Concentration Plasma","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior","PROSTAGLANDIN SYNTHESIS AND REGULATION"
"317","Reduced Prostaglandin F2alpha Synthesis Ovary","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior","GO:0001516"
"318","Reduced Spawning Behavior","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior","REPRODUCTIVE BEHAVIOR"
"319","Reduced Ability To Attract Spawning Mates","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior","MATING BEHAVIOR"
"320","Reduced Reproductive Success","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of female spawning behavior","GO:0000003"
"321","Reduced Pheromone Release","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of pheromone release","GPCRS CLASS C METABOTROPIC GLUTAMATE PHEROMONE"
"322","Accumulation Collagen","Protein Alkylation leading to Liver Fibrosis","GO:0032964"
"323","Decreased Prostaglandin F2alpha Synthesis Ovary","Cyclooxygenase inhibition leading to reproductive dysfunction via inhibition of pheromone release","GO:0001516"
"324","Generation Amplified Excitatory Postsynaptic Potential Epsp","Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures in adult brain","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"325","Reduced Prostaglandins Ovary","Cyclooxygenase inhibition leading to reproductive dysfunction","ABNORMALITY OF THE OVARY"
"326","Reduced Prostaglandin E2 Concentration Hypothalamus","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"327","Reduced Gonadotropin Releasing Hormone Hypothalamus","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","HYPOTHALAMIC GONADOTROPIN RELEASING HORMONE DEFICIENCY"
"328","Reduced Luteinizing Hormone Lh Plasma","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","DECREASED CIRCULATING LUTEINIZING HORMONE LEVEL"
"329","Reduced Maturation Inducing Steroid Plasma","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","STEROID HORMONE MEDIATED SIGNALING PATHWAY"
"330","Reduced Maturation Inducing Steroid Receptor Signalling Oocyte","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","GO:0003707"
"331","Increased Cyclic Adenosine Monophosphate","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","ELEVATED RED CELL ADENOSINE DEAMINASE LEVEL"
"332","Reduced Meiotic Prophase I/Metaphase I Transition Oocyte","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with meiotic prophase I /metaphase I transition","G OOCYTE MEIOSIS"
"333","Upregulated Spindle Assembly Checkpoint Protein Mad2-Oocyte","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with spindle assembly checkpoint","REGULATION OF SPINDLE CHECKPOINT"
"334","Increased Chromosome Misseggregation","Cyclooxygenase inhibition leading to reproductive dysfunction via interference with spindle assembly checkpoint","GO:0007059"
"335","Impaired Ion Channels","Altered ion channel activity leading impaired heart function","GO:0005216"
"336","Altered Action Potential","Altered ion channel activity leading impaired heart function","GO:0001508"
"337","Increased Cardiac Arrthymia","Altered ion channel activity leading impaired heart function","ABNORMAL CARDIAC TEST"
"338","Increased Accumulation Of Alpha2u Microglobulin Proximal Tubular Epithelium","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY"
"339","Increase Cytotoxicity Renal Tubular Cell","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","RENAL TUBULAR DYSFUNCTION"
"340","Increase Regenerative Cell Proliferation Tubular Epithelial Cells","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","GO:0050673"
"341","Increase Adenomas/Carcinomas Renal Tubular","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","RENAL TUBULAR DYSFUNCTION"
"342","Increased Binding Of Chemicals To 2u Serum","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","GO:0005488"
"343","Activation Constitutive Androstane Receptor","Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat","CONSTITUTIVE ANDROSTANE RECEPTOR PATHWAY"
"344","Increase Mitogenic Cell Proliferation Hepatocytes","Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat","GO:0008283"
"345","Binding Tubulin","Chemical binding to tubulin in oocytes leading to aneuploid offspring","GO:0015631"
"346","Increase Adenomas/Carcinomas Hepatocellular","Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat","HEPATOCELLULAR CARCINOMA"
"347","Depolymerization Microtubule","Chemical binding to tubulin in oocytes leading to aneuploid offspring","MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION"
"348","Disorganization Spindle","Chemical binding to tubulin in oocytes leading to aneuploid offspring","GO:0007051"
"349","Altered Chromosome Number","Chemical binding to tubulin in oocytes leading to aneuploid offspring","CHROMOSOME BREAKAGE"
"350","Inhibition Pyruvate Dehydrogenase Kinase Pdk Enzyme","Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)","GO:0004738"
"351","Increased Induction Of Pyruvate Dehydrogenase Pdh","Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)","GO:0004738"
"352","Increase Necrosis Terminal Bronchiolar Cells","Cytotoxicity leading to bronchioloalveolar adenomas and carcinomas (in mouse)","CTOME REGULATED NECROSIS"
"353","Increase Regenerative Cell Proliferation Terminal Bronchiolar Epithelial Cells","Cytotoxicity leading to bronchioloalveolar adenomas and carcinomas (in mouse)","GO:0050673"
"354","Increase Hyperplasia Terminal Bronchiolar Cells","Cytotoxicity leading to bronchioloalveolar adenomas and carcinomas (in mouse)","ADRENAL HYPERPLASIA"
"355","Increase Adenomas/Carcinomas Bronchioloalveolar","Cytotoxicity leading to bronchioloalveolar adenomas and carcinomas (in mouse)","ABNORMAL LUNG MORPHOLOGY"
"356","Increase Hypertrophy And Proliferation Follicular Cell","Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse)","GO:0008283"
"357","Increase Hyperplasia Follicular Cells","Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse)","ADRENAL HYPERPLASIA"
"358","Increase Adenomas/Carcinomas Follicular Cell","Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse)","FOLLICULAR HYPERKERATOSIS"
"359","Decreased Testosterone Binding To Androgen Receptor Hypothalamus","Decrease in androgen receptor activity leading to Leydig cell tumors (in rat)","GO:0005102"
"360","Increase Hyperplasia Leydig Cells","Decrease in androgen receptor activity leading to Leydig cell tumors (in rat)","ABNORMALITY OF THE LEYDIG CELLS"
"361","Increase Leydig Cell Tumors","Decrease in androgen receptor activity leading to Leydig cell tumors (in rat)","LEYDIG CELL DIFFERENTIATION"
"362","Increase Dopaminergic Activity","Increased dopaminergic activity leading to endometrial adenocarcinomas (in Wistar rat)","GO:0001963"
"363","Decreased Prolactin","Increased dopaminergic activity leading to endometrial adenocarcinomas (in Wistar rat)","ABNORMAL PROLACTIN LEVEL"
"364","Increased Estrogen Receptor Er Activity","Alcohol dehydrogenase leading to reproductive dysfunction","GO:0030284"
"365","Decreased Progesterone From Corpus Luteum","Increased dopaminergic activity leading to endometrial adenocarcinomas (in Wistar rat)","GO:0042701"
"366","Altered Meiotic Chromosome Dynamics","Chemical binding to tubulin in oocytes leading to aneuploid offspring","CHROMOSOME BREAKAGE"
"367","Increased Luteinizing Hormone Lh","Decrease in androgen receptor activity leading to Leydig cell tumors (in rat)","DECREASED CIRCULATING LUTEINIZING HORMONE LEVEL"
"368","Increased Kidney Failure","Kidney toxicity induced by activation of 5HT2C","ABNORMALITY OF ADRENAL PHYSIOLOGY"
"369","Activation Glutamate-Gated Chloride Channel","Glutamate-gated chloride channel activation leading to acute mortality","GO:0005254"
"370","Increased Chloride Conductance","Glutamate-gated chloride channel activation leading to acute mortality","GO:1902476"
"371","Activation Ionotropic Gaba Receptor Chloride Channel","Ionotropic gamma-aminobutyric acid receptor activation mediated neurotransmission inhibition leading to mortality","GO:0022851"
"372","Hyperpolarisation Neuron","Glutamate-gated chloride channel activation leading to acute mortality","ABNORMAL NEURON MORPHOLOGY"
"373","N/A Ataxia Paralysis Or Hyperactivity","Glutamate-gated chloride channel activation leading to acute mortality","HYPERACTIVITY"
"374","Induction Ataxia Paralysis Or Hyperactivity","Glutamate-gated chloride channel activation leading to acute mortality","HYPERACTIVITY"
"375","Inhibition 4-Hydroxyphenyl-Pyruvate Dioxygenase Hppd Enzyme","HPPD inhibition leading to corneal papillomas and carcinomas (in rat)","PYRUVATE METABOLIC PROCESS"
"376","Increase Hyperplasia Renal Tubular Cells","Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)","RENAL TUBULAR DYSFUNCTION"
"377","Increase Cytotoxicity","Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)","GO:0001909"
"378","Increase Oxidative Metabolism","Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)","GO:0045333"
"379","Production Critical Metabolites Cga 330050 And Cga 265307","Inhibition of iNOS, hepatotoxicity, and regenerative proliferation leading to liver tumors","GO:0008152"
"380","Decrease Serum Thyroid Hormone T4/T3","Thyroid peroxidase (TPO) inhibition leads to periventricular heterotopia formation in the developing rat brain","ABNORMAL THYROID HORMONE LEVEL"
"381","Increase Hyperplasia Glandular Epithelial Cells Of Endometrium","Increased dopaminergic activity leading to endometrial adenocarcinomas (in Wistar rat)","ABNORMALITY OF THE ENDOMETRIUM"
"382","Increase Endometrial Adenocarcinomas","Increased dopaminergic activity leading to endometrial adenocarcinomas (in Wistar rat)","ENDOMETRIAL CANCER"
"383","Increase Preneoplastic Foci Hepatocytes","Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat","LIPID ACCUMULATION IN HEPATOCYTES"
"384","Increased Plasma Tyrosine","HPPD inhibition leading to corneal papillomas and carcinomas (in rat)","DECREASED PLASMA CARNITINE"
"385","Increase Inflammation Corneal Cells","HPPD inhibition leading to corneal papillomas and carcinomas (in rat)","GO:0006954"
"386","Increase Regenerative Cell Proliferation Corneal Cells","HPPD inhibition leading to corneal papillomas and carcinomas (in rat)","GO:0008283"
"387","Increase Papillomas/Carcinomas Squamous Cells","HPPD inhibition leading to corneal papillomas and carcinomas (in rat)","SQUAMOUS CELL CARCINOMA"
"388","Reduction Cumulative Fecundity And Spawning","Estrogen receptor agonism leading to reproductive dysfunction","DECREASED FERTILITY"
"389","Increase Regenerative Cell Proliferation Forestomach Epithelial Cells","Epithelial cytotoxicity leading to forestomach tumors (in mouse and rat)","GO:0008283"
