AOP,MIE,Fullname,AO-1,AO-2,AO-3,AO-4
Sensitisation of the Respiratory Tract induced by Covalent Binding of Low Molecular Weight Organic Chemicals to Proteins,"N/A, Covalent binding to protein, possibly lysine residue",,"Increase, Allergic Respiratory Hypersensitivity Response",,,
Serotonin 1A Receptor Agonism leading to Anti-depressant Activity via Ca Channel Inhibition,Serotonin 1A Receptor Agonism,,Anti-depressant Activity,,,
Serotonin 1A Receptor Agonism leading to Anti-depressant Activity via K Channel Opening,Serotonin 1A Receptor Agonism,,Anti-depressant Activity,,,
Serotonin transporter activation to agitation,,,"Increased, agitation",,,
Serotonin transporter activation to depression,"Increased, serotonin transporter activity",,"Increased, depression",,,
Serotonin transporter activation to seizure,"Increased, serotonin transporter activity",,"Increased, seizure",,,
Sodium channel (Nav1.1) inhibition leading to population decline,"Inhibition, sodium channel",,,,,
Sodium channel inhibition leading to congenital malformations,"Inhibition, sodium channel",,"Increased, amputations",,,
Sodium channel inhibition leading to increased predation,"Inhibition, sodium channel",,"Increased, predation",,,
Sodium channel inhibition leading to reduced survival,"Inhibition, sodium channel",,"Reduced, feeding 1","Increased, predation","Reduced, survival",
Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,"Inhibition, Na+/I- symporter (NIS)",,"Cognitive Function, Decreased",,,
Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis,"Inhibition, Na+/I- symporter (NIS)",,"Altered, Amphibian metamorphosis",,,
SSRI (Selective serotonin reuptake inhibitor) to hypertension,"Decreased, serotonin transporter activity",,"Increase, hypertension",,,
Suppression of immune system contributes to abnormal foraging and leads to colony loss/failure,,,"Decrease, Number of worker bees","Death/Failure, Colony",,
Suppression of immune system contributes to impaired development and leads to colony loss/failure,,,"Decrease, Number of worker bees","impaired, Hive thermoregulation","Death/Failure, Colony",
AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC),"Formation, Pro-mutagenic DNA Adducts",,"Tumorigenesis, Hepatocellular carcinoma",,,
Thyroperoxidase inhibition leading to altered amphibian metamorphosis,"Thyroperoxidase, Inhibition",,"Altered, Amphibian metamorphosis",,,
Thyroperoxidase inhibition leading to reduced young of year survival via anterior swim bladder inflation,"Thyroperoxidase, Inhibition",,"Decrease, Population trajectory",,,
Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,"Inhibition, Deiodinase 1",,"Altered, Amphibian metamorphosis",,,
Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,"Inhibition, Deiodinase 2",,"Altered, Amphibian metamorphosis",,,
Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,"Inhibition, Deiodinase 3",,"Altered, Amphibian metamorphosis",,,
Uncoupling of photophosphorylation leading to reduced ATP production associated growth inhibition,"Increase, Uncoupling of photophosphorylation",,"Increase, Growth inhibition",,,
unknown MIE leading to renal failure and mortality,"Unknown, MIE",,"Increased, Mortality",,,
Unknown MIE leading to reproductive dysfunction via increased HIF-1alpha transcription,"modulation, Unknown",,"Reduction, Cumulative fecundity and spawning","Decrease, Population trajectory",,
"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals","Activation, Pregnane-X receptor, NR1l2",,"Loss, Cochlear function",,,
Urinary bladder calculi leading to urothelial papillomas and carcinomas (in mouse and rat),"Increase, Urinary bladder calculi",,"Increase, Adenomas/carcinomas (urothelial)",,,
Varroa mite infestation contributes to abnormal foraging leading to colony loss/failure,,,"Death/Failure, Colony",,,
Varroa mite infestation increases virus levels leading to colony loss/failure,,,"Death/Failure, Colony",,,
Volatile Organic Chemicals Activate TRPA1 Receptor to Induce Sensory Pulmonary Irritation,"TRPA1 activation, TRPA1 Receptor",,Irritation induced sneezing,Nerve excitation,"Chronic Cough, Respiratory irritability","Sensitization, Immune system"
Weather event contributes abnormal foraging leading to colony loss/failure,,,"Death/Failure, Colony",,,
Weather event contributes to colony loss/failure,,,"Death/Failure, Colony",,,
Xenobiotic Inhibition of Dopamine-beta-Hydroxylase and subsequent reduced fecundity,"Inhibition, Inhibition of Dopamine-beta-hydroxylase",,"Decreased, Decreased fecundity",,,
