"","x","X.1"
"333","INCREASE HYPERPLASIA TERMINAL BRONCHIOLAR CELLS","ADRENAL HYPERPLASIA"
"334","INCREASE HYPERPLASIA FOLLICULAR CELLS","ADRENAL HYPERPLASIA"
"335","INCREASE HYPERPLASIA UROTHELIAL","ADRENAL HYPERPLASIA"
"336","HYPERPLASIA OVARIAN STROMAL CELLS","ADRENAL HYPERPLASIA"
"337","INCREASED HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM","ABNORMALITY OF THE ENDOMETRIUM"
"338","INCREASED LACTOTROPH HYPERPLASIA AND HYPERTROPHY","ADRENAL HYPERPLASIA"
"339","HYPERTROPHY/HYPERPLASIA SMOOTH MUSCLE","SMOOTH PHILTRUM"
"340","DECREASED KETOGENESIS","DECREASED FERTILITY"
"341","INCREASED INDUCED MUTATIONS IN CRITICAL GENES","GENES INVOLVED IN MALE INFERTILITY"
"342","NA IN UTERO MLL CHROMOSOMAL TRANSLOCATION","CHROMOSOMAL AND MICROSATELLITE INSTABILITY IN COLORECTAL CANCER"
"343","IMPAIRED PROTEOSTASIS","IMPAIRED PROPRIOCEPTION"
"344","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS ACTIVATION BY OTHER GLUCOCORTICOID RECEPTOR AGONISTS","ABNORMALITY OF THE LEYDIG CELLS"
"345","GLUCOCORTICOID RECEPTOR MEDIATED ALTERATIONS IN STERIODOGENIC ENZYMES DECREASED TESTOSTERONE BY ADULT LEYDIG CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"346","INCREASED UPTAKE OF THYROXINE INTO TISSUE","NEOPLASM OF FATTY TISSUE"
"347","DECREASED SODIUM CONDUCTANCE","ABNORMAL BLOOD SODIUM CONCENTRATION"
"348","DECREASED GABA RELEASE","DECREASED LEVEL OF GABA IN SERUM"
"349","INDUCTION IKB INHIBITORY PROTEIN","ABNORMAL CIRCULATING PROTEIN CONCENTRATION"
"350","N/A CELL INJURY/DEATH","CELL CYCLE"
"351","INCREASE CYTOTOXICITY RENAL TUBULAR CELL","RENAL TUBULAR DYSFUNCTION"
"352","INCREASE CYTOTOXICITY CLUB CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"353","INCREASE CYTOTOXICITY CORNEAL CELLS","ABNORMALITY OF CORNEAL SIZE"
"354","INCREASE CYTOTOXICITY EPITHELIAL CELLS","REGUCALCIN IN PROXIMAL TUBULE EPITHELIAL KIDNEY CELLS"
"355","INCREASE CYTOTOXICITY TUBULAR EPITHELIAL CELLS","RENAL TUBULAR DYSFUNCTION"
"356","INCREASE CYTOTOXICITY HEPATOCYTES","LIPID ACCUMULATION IN HEPATOCYTES"
"357","INCREASE CYTOTOXICITY UROTHELIAL CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"358","PERSISTENT CYTOTOXICITY PLEURA OR PERITONEUM","ABNORMAL PLEURA MORPHOLOGY"
"359","INCREASE NECROSIS TERMINAL BRONCHIOLAR CELLS","HEPATIC NECROSIS"
"360","DECREASED SECRETION OF ECDYSIS TRIGGERING HORMONE ETH","DECREASED CIRCULATING LUTEINIZING HORMONE LEVEL"
"361","REDUCED MEIOTIC PROPHASE I/METAPHASE I TRANSITION OOCYTE","REDUCED CIRCULATING PROLACTIN CONCENTRATION"
"362","DECREASE STEROIDOGENIC ACUTE REGULATORY PROTEIN STAR","ANGIOPOIETIN LIKE PROTEIN 8 REGULATORY PATHWAY"
"363","DECREASE TRANSLOCATOR PROTEIN TSPO","SLOW DECREASE IN VISUAL ACUITY"
"364","ACTIVATION OF SPECIFIC NUCLEAR RECEPTORS TRANSCRIPTIONAL CHANGE","NUCLEAR RECEPTORS"
"365","DOWN REGULATION GULCOSE-6-PHOSPHATE DEHYDROGENASE","ABNORMAL LACTATE DEHYDROGENASE LEVEL"
"366","DECREASED HSD17B10 EXPRESSION","DECREASED FACIAL EXPRESSION"
"367","INCREASED VITELLOGENIN SYNTHESIS","EICOSANOID SYNTHESIS"
"368","DECREASED PCK1 EXPRESSION CONTROL POINT FOR GLYCOLYSIS/GLUCONEOGENESIS PATHWAY","DECREASED FACIAL EXPRESSION"
"369","INCREASED HIF-1 HETERODIMER","INCREASED HEMOGLOBIN"
"370","INCREASED HIF-1 ALPHA TRANSCRIPTION","PPAR ALPHA PATHWAY"
"371","REDUCED PRODUCTION VEGF","ANEMIA OF INADEQUATE PRODUCTION"
"372","INCREASED INDUCTION OF UDPGT'S IN LIVER","ABNORMALITY OF THE LIVER"
"373","INCREASED IGF-1 MOUSE","INCREASED HEMOGLOBIN"
"374","PROMOTION SIX-1 POSTIVE BASAL-TYPE PROGENITOR CELLS","CARDIAC PROGENITOR DIFFERENTIATION"
"375","NA PRODUCTION OF ?±-SMOOTH MUSCLE ACTIN","REGULATION OF ACTIN CYTOSKELETON"
"376","UP REGULATION SREBF2","SLEEP REGULATION"
"377","DECREASED THYROIDAL IODIDE UPTAKE","DECREASED FERTILITY"
"378","DECREASED UPTAKE OF INORGANIC IODIDE","ABNORMAL BLOOD INORGANIC CATION CONCENTRATION"
"379","ACTIVATION LONG TERM AHR RECEPTOR DRIVEN DIRECT AND INDIRECT GENE EXPRESSION CHANGES","MITOCHONDRIAL GENE EXPRESSION"
"380","ACTIVATION MTTP","NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR SIGNALING"
"381","INCREASED NON-GENOMIC SIGNALING","INCREASED HEMOGLOBIN"
"382","INCREASE OXIDATIVE STRESS / ACTIVATION PMK-1 P38 MAPK","OXIDATIVE STRESS"
"383","ACTIVATION HIF-1","16P112 DISTAL DELETION SYNDROME"
"384","ACTIVATION JAK/STAT PATHWAY","NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR SIGNALING"
"385","ACTIVATION TGF-BETA PATHWAY","NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR SIGNALING"
"386","DECREASED LH RELEASE FROM ANTERIOR PITUITARY DECREASED GNRH STIMULATION OF ANTERIOR PITUITARY GONADOTROPHS","ANTERIOR PITUITARY AGENESIS"
"387","INCREASED SECRETION OF LH FROM ANTERIOR PITUITARY","ANTERIOR PITUITARY AGENESIS"
"388","UP REGULATION TGFBETA1 EXPRESSION","ABNORMAL FACIAL EXPRESSION"
"389","ABNORMAL SPERM PENETRATION POLYSPERMY","ABNORMAL METABOLISM"
"390","ACTIVATION STELLATE CELLS","NANOPARTICLEMEDIATED ACTIVATION OF RECEPTOR SIGNALING"
"391","INHIBITION HMG-COA REDUCTASE","LET7 INHIBITION OF ES CELL REPROGRAMMING"
"392","DECREASE HISTAMINERGIC NEURON EXCITATION","ABNORMAL NEURON MORPHOLOGY"
"393","NERVE EXCITATION BRONCHOPULMONARY VAGUL NERVE EXCITATION","ABNORMAL CRANIAL NERVE MORPHOLOGY"
"394","OCCURRENCE CYTOPLASMIC VACUOLIZATION HEPATOCYTE","SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR"
"395","OCCURRENCE BALLOONING DEGENERATION HEPATOCYTE","SIGNALING OF HEPATOCYTE GROWTH FACTOR RECEPTOR"
"396","OCCURRENCE CYTOPLASMIC VACUOLIZATION BILE DUCT CELL","ABNORMAL LACRIMAL DUCT MORPHOLOGY"
"397","OCCURRENCE CYTOPLASMIC VACUOLIZATION KUPFFER CELL","CYTOPLASMIC RIBOSOMAL PROTEINS"
"398","ALTERED MEIOTIC CHROMOSOME DYNAMICS","CHROMOSOME BREAKAGE"
"399","HYPERPOLARISATION NEURON","ABNORMAL NEURON MORPHOLOGY"
"400","DAMAGING MITOCHONDRIA","ABNORMAL MITOCHONDRIA IN MUSCLE TISSUE"
"401","INDUCTION SUSTAINED CELL PROLIFERATION","DRUG INDUCTION OF BILE ACID PATHWAY"
"402","INCREASE HYPERPLASIA LEYDIG CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"403","INCREASE PRENEOPLASTIC FOCI HEPATOCYTES","LIPID ACCUMULATION IN HEPATOCYTES"
"404","ALTERED GABAERGIC INTERNEURONS MORPHOLOGY AND FUNCTION","DECREASED PULMONARY FUNCTION"
"405","ALTERED CHROMOSOME NUMBER POLYPLOID ZYGOTE","CHROMOSOME BREAKAGE"
"406","ALTERED CHROMOSOME NUMBER","CHROMOSOME BREAKAGE"
"407","INCREASE HYPERPLASIA TUBULAR EPITHELIAL CELLS","ADRENAL HYPERPLASIA"
"408","INCREASE HYPERPLASIA FORESTOMACH EPITHELIAL CELLS","ADRENAL HYPERPLASIA"
"409","INCREASE HYPERPLASIA GLANDULAR EPITHELIAL CELLS OF ENDOMETRIUM","ABNORMALITY OF THE ENDOMETRIUM"
"410","FORMATION MALLORY BODY","SPARSE BODY HAIR"
"411","N/A MITOCHONDRIAL DYSFUNCTION","MUSCLE ABNORMALITY RELATED TO MITOCHONDRIAL DYSFUNCTION"
"412","ACCUMULATION ACETYLCHOLINE IN SYNAPSES","IRON ACCUMULATION IN BRAIN"
"413","DEPLETION GSH","16P112 DISTAL DELETION SYNDROME"
"414","INCREASE CA++ INTRACELLULAR","NOVEL INTRACELLULAR COMPONENTS OF RIGILIKE RECEPTOR RLR PATHWAY"
"415","BILE ACCUMULATION PATHOLOGICAL CONDITION","IRON ACCUMULATION IN BRAIN"
"416","DAMAGING RED BLOOD CELLS; HEMOLYSIS","RED EYE"
"417","N/A UNKNOWN","16P112 DISTAL DELETION SYNDROME"
"418","ACCUMULATION BIOLOGICAL MEMBRANES","IRON ACCUMULATION IN BRAIN"
"419","DISRUPTION MEMBRANE INTEGRITY","THINNING OF DESCEMET MEMBRANE"
"420","INCREASED INTRACELLULAR CALCIUM OVERLOAD","ABNORMALITY OF URINE CALCIUM CONCENTRATION"
"421","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS INCREASED CORTICOSTERONE","ABNORMALITY OF THE LEYDIG CELLS"
"422","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS INCREASED ESTRADIOL","ABNORMALITY OF THE LEYDIG CELLS"
"423","ALTERED FORMATION OF CORTICAL ENVELOPE","CORTICAL DYSPLASIA"
"424","INCREASE PAPILLOMAS/CARCINOMAS SQUAMOUS CELLS","SQUAMOUS CELL CARCINOMA"
"425","DECREASED CHOLESTEROL","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"426","DAMAGE LIPID BILAYER","LIPID METABOLISM PATHWAY"
"427","OXIDATION UROPORPHYRINOGEN","FATTY ACID BETA OXIDATION"
"428","UNCOUPLING ENOS","16P112 DISTAL DELETION SYNDROME"
"429","PROMOTION OVARIAN GRANULAR CELL TUMORS","ABNORMAL OVARIAN MORPHOLOGY"
"430","DECREASED TRIIODOTHYRONINE T3 IN SERUM","DECREASED LEVEL OF GABA IN SERUM"
"431","INCREASED INVASION","CELL MIGRATION AND INVASION THROUGH P75NTR"
"432","NA PERTURBATION OF CHOLESTEROL","ABNORMAL CIRCULATING CHOLESTEROL CONCENTRATION"
"433","INCREASED CARDIAC ARRTHYMIA","ABNORMAL CARDIAC TEST"
"434","OCCURRENCE CYSTIC DILATATION RENAL TUBULE","ABNORMAL RENAL TUBULE MORPHOLOGY"
"435","INCREASE RENAL PATHOLOGY DUE TO VTG DEPOSITION","WEAKNESS DUE TO UPPER MOTOR NEURON DYSFUNCTION"
"436","INCREASE ALLERGIC RESPIRATORY HYPERSENSITIVITY RESPONSE","IMMUNOLOGIC HYPERSENSITIVITY"
"437","INCREASED INCOMPLETE ECDYSIS","INCOMPLETE PENETRANCE"
"438","ALTERED AMPHIBIAN METAMORPHOSIS","APOPTOSISRELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER"
"439","REDUCED HEARING","PROGRESSIVE HEARING IMPAIRMENT"
"440","FEMINISATION OR INCOMPLETE DEVELOPMENT PRIMARY AND ACCESSORY MALE SEX ORGANS","ABNORMALITY OF THE ABDOMINAL ORGANS"
"441","ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION ALTERED CARDIOVASCULAR DEVELOPMENT/FUNCTION","CARDIOVASCULAR CALCIFICATION"
"442","OCCURRENCE CYTOPLASMIC VACUOLIZATION RENAL TUBULE","ABNORMAL RENAL TUBULE MORPHOLOGY"
"443","REDUCED POSTERIOR SWIM BLADDER INFLATION","ABNORMALITY OF THE BLADDER"
"444","REDUCED ANTERIOR SWIM BLADDER INFLATION","ABNORMALITY OF THE BLADDER"
"445","DECREASED SODIUM REABSORPTION","ABNORMAL BLOOD SODIUM CONCENTRATION"
"446","CLONAL EXPANSION/CELL PROLIFERATION TO FORM ALTERED HEPATIC FOCI AHF","ABNORMAL FORM OF THE VERTEBRAL BODIES"
"447","INDUCTION LIVER ??DYSFUNCTIONAL??CHANGES BY CGA 330050","ABNORMAL LIVER MORPHOLOGY"
"448","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS DYSGENESIS OF FETAL LEYDIG CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"449","DECREASED TESTOSTERONE BY FETAL LEYDIG CELLS DYSGENESIS OF FETAL LEYDIG CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"450","DECREASED TESTOSTERONE BY THE FETAL LEYDIG CELLS DYSGENSIS OF FETAL LEYDIG CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"451","DECREASED RENAL ABILITY TO DILUTE URINE","DELAYED ABILITY TO WALK"
"452","LOSS COCHLEAR FUNCTION","VISUAL LOSS"
"453","INDUCTION ATAXIA PARALYSIS OR HYPERACTIVITY","HYPERACTIVITY"
"454","INCREASED ATAXIA PARALYSIS OR HYPERACTIVITY","HYPERACTIVITY"
"455","N/A ATAXIA PARALYSIS OR HYPERACTIVITY","HYPERACTIVITY"
"456","INCREASED WATER RETENTION IN FOOT INCREASED WATER RETENTION IN FOOT","SHORT FOOT"
"457","INCREASE PERICARDIAL EDEMA","PERICARDIAL EFFUSION"
"458","INFLAMMATION LIVER","ABNORMAL LIVER MORPHOLOGY"
"459","INCREASED GLOMERULAR RUPTURE AND RENAL HEMORRHAGING","GLOMERULAR SCLEROSIS"
"460","INCREASED RESPIRATORY DISTRESS/ARREST","ABNORMAL RESPIRATORY SYSTEM MORPHOLOGY"
"461","INCREASE SITE OF CONTACT NASAL TUMORS","POOR EYE CONTACT"
"462","INCREASED DEGENERATION OF DOPAMINERGIC NEURONS OF THE NIGROSTRIATAL PATHWAY","NICOTINE ACTIVITY ON DOPAMINERGIC NEURONS"
"463","N/A LIVER FIBROSIS","ABNORMAL LIVER MORPHOLOGY"
"464","ALTERED NEUROPHYSIOLOGY","APOPTOSISRELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER"
"465","INCREASE VASCULAR RESISTANCE","INCREASED PULMONARY VASCULAR RESISTANCE"
"466","INCREASED SERUM CREATININE","INCREASED SERUM SEROTONIN"
"467","NA LUNG FIBROSIS","LUNG FIBROSIS"
"468","INCREASE RBC CONGESTION IN LIVER","ABNORMAL LIVER MORPHOLOGY"
"469","INCREASE URINARY BLADDER CALCULI","ABNORMALITY OF THE BLADDER"
"470","OCCURRENCE CYTOPLASMIC VACUOLIZATION PODOCYTE","CYTOPLASMIC RIBOSOMAL PROTEINS"
"471","OCCURRENCE KIDNEY TOXICITY","FLUOROACETIC ACID TOXICITY"
"472","REDUCTION PLASMA 17BETA-ESTRADIOL CONCENTRATIONS","DECREASED PLASMA CARNITINE"
"473","DECREASED THYROXIN T4 IN NEURONAL TISSUE","DECREASED ADIPOSE TISSUE"
"474","ALTERED HIPPOCAMPAL ANATOMY","APOPTOSISRELATED NETWORK DUE TO ALTERED NOTCH3 IN OVARIAN CANCER"
"475","INCREASED ATRIOVENTRICULAR BLOCK AND BRADYCARDIA","BRADYCARDIA"
"476","MALFORMATION MALE REPRODUCTIVE TRACT","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"477","REDUCTION PLASMA VITELLOGENIN CONCENTRATIONS","DECREASED PLASMA CARNITINE"
"478","REDUCTION GONADOTROPINS CIRCULATING CONCENTRATIONS","ABNORMAL CIRCULATING RENIN"
"479","INCREASE PLASMA VITELLOGENIN CONCENTRATIONS","DECREASED PLASMA CARNITINE"
"480","INCREASE LIVER AND SPLENIC HEMOSIDEROSIS","ABNORMAL LIVER MORPHOLOGY"
"481","N/A METHEMOGLOBINEMIA DECREASED HEMOGLOBIN HEMATOCRIT RED BLOOD CELL NUMBER","PURE RED CELL APLASIA"
"482","N/A LIVER STEATOSIS","RENAL STEATOSIS"
"483","ACCUMULATION FATTY ACID","ABNORMAL CIRCULATING FATTY ACID CONCENTRATION"
"484","INCREASED LIVER STEATOSIS","RENAL STEATOSIS"
"485","SENSITISATION SKIN","NEOPLASM OF THE SKIN"
"486","FORMATION HEPATOCELLULAR AND BILE DUCT TUMORS","HEPATOCELLULAR CARCINOMA"
"487","INCREASED RENAL VITELLOGENIN DEPOSITION","ABNORMAL RENAL MORPHOLOGY"
"488","REDUCED PROSTAGLANDINS OVARY","ABNORMALITY OF THE OVARY"
"489","DECREASED CHOLESTEROL DECREASED SPERM QUANTITY AND/OR QUALITY IN THE ADULT TESTIS","ABNORMAL HAIR QUANTITY"
"490","ACCUMULATION HIGHLY CARBOXYLATED PORPHYRINS","HIGHLY ARCHED EYEBROW"
"491","OCCURRENCE CARDIAC ARRHYTHMIA OCCURRENCE CARDIAC ARRHYTHMIA","VENTRICULAR ARRHYTHMIA"
"492","DECREASED POSITIVE ESTROGENIC FEEDBACK ON HYPOTHALAMUS REDUCED ESTRADIOL IN CIRCULATION DECREASES ESTROGEN CONCENTRATION AT HYPOTHALAMUS","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"493","DECREASED BILE FLOW","DRUG INDUCTION OF BILE ACID PATHWAY"
"494","INCREASED CHOLESTASIS","CHOLESTASIS"
"495","INCREASED PANCREATIC ACINAR TUMORS","PANCREATIC HYPOPLASIA"
"496","INCREASED CIRCULATING ESTROGEN LEVELS","ABNORMAL CIRCULATING ESTROGEN LEVEL"
"497","OCCURRENCE CARDIAC ARRHYTHMIA","VENTRICULAR ARRHYTHMIA"
"498","INDUCTION MALE REPRODUCTIVE TRACT","MALE REPRODUCTIVE SYSTEM NEOPLASM"
"499","INCREASE ADENOMAS/CARCINOMAS RENAL TUBULAR","RENAL TUBULAR DYSFUNCTION"
"500","INCREASE ADENOMAS/CARCINOMAS HEPATOCELLULAR","HEPATOCELLULAR CARCINOMA"
"501","HYPERPLASIA HYPERPLASIA","ADRENAL HYPERPLASIA"
"502","INCREASE HYPERPLASIA OF GOBLET CELLS","ADRENAL HYPERPLASIA"
"503","INCREASED HYPERPLASIA FOLLICULAR CELLS","ADRENAL HYPERPLASIA"
"504","HYPERPLASIA OVARIAN EPITHELIUM","ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY"
"505","INCREASED HYPERPLASIA MAMMARY GLAND","ADRENAL HYPERPLASIA"
"506","INCREASED DUCTAL HYPERPLASIA","ADRENAL HYPERPLASIA"
"507","OCCURRENCE RENAL ISCHEMIA","TISSUE ISCHEMIA"
"508","INCREASE METAPLASIA OF GOBLET CELLS","ABNORMALITY OF THE LEYDIG CELLS"
"509","REDUCED FITNESS OR EVEN MORTALITY ACIDOSIS HYPOVOLEMIC SHOCK AND ORGAN DYSFUNCTION","MORTALITY AGING"
"510","DECREASED GLOMERULAR FILTRATION","GLOMERULAR SCLEROSIS"
"511","INCREASED HEPATIC THYROID HORMONE UPTAKE/TRANSPORT","ABNORMAL THYROID HORMONE LEVEL"
"512","UNDER CARBOXYLATED CLOTTING FACTORS WILL NOT ASSEMBLE ON CELL SURFACES TO FORM CLOT FAILURE OF SECONDARY HEMOSTASIS","FAILURE TO THRIVE"
"513","HEMOSTASIS DEPLETION FROM BLOOD OF FULLY FUNCTIONAL CARBOXYLATED CLOTTING FACTORS","BLOOD CLOTTING CASCADE"
"514","REDUCTION VITELLOGENIN SYNTHESIS IN LIVER","ABNORMAL LIVER MORPHOLOGY"
"515","INCREASE VITELLOGENIN SYNTHESIS IN LIVER","ABNORMAL LIVER MORPHOLOGY"
"516","INCREASED APOB100","INCREASED HEMOGLOBIN"
"517","INCREASED VALVE MOVEMENT INCREASED VALVE MOVEMENT","PRENATAL MOVEMENT ABNORMALITY"
"518","AIRWAY HYPER-RESPONSIVENESSCOUGH DYSPNEA TRIGEMINAL AND/OR VAGAL NERVE EXCITATION","DYSPNEA"
"519","NA IRRITATION OF NASAL MUCOSA INDUCING SNEEZE REFLEX","ABNORMAL NASAL MUCOSA MORPHOLOGY"
"520","REDUCTION EXCITATORY POSTSYNAPTIC POTENTIAL","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"521","GENERATION AMPLIFIED EXCITATORY POSTSYNAPTIC POTENTIAL EPSP","DISRUPTION OF POSTSYNAPTIC SIGNALLING BY CNV"
"522","CHRONIC MUCUS HYPERSECRETION CHRONIC MUCUS HYPERSECRETION","16P112 DISTAL DELETION SYNDROME"
"523","INCREASED PROLACTIN SECRETION","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"524","INDUCTION MICROVESICULAR FAT","FAT MALABSORPTION"
"525","INCREASED ADENOMAS PITUITARY","ABNORMALITY OF THE PITUITARY GLAND"
"526","HYPERPLASIA MAMMARY GLAND","ADRENAL HYPERPLASIA"
"527","INDUCTION SOMATIC MUSCLE PARALYSIS","PARALYSIS"
"528","INDUCTION PHARYNGEAL MUSCLE PARALYSIS","PARALYSIS"
"529","N/A NEUROINFLAMMATION","NEUROINFLAMMATION"
"530","NOT INCREASED CIRCULATING KETONE BODIES","SYNTHESIS AND DEGRADATION OF KETONE BODIES"
"531","N/A NEURODEGENERATION","NEURODEGENERATION"
"532","LEUKOCYTE INFILTRATION TISSUE IRRITATION/INFLAMMATION","ABNORMAL LEUKOCYTE COUNT"
"533","FORMATION LIVER FIBROSIS","ABNORMAL LIVER MORPHOLOGY"
"534","OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS","RENAL TUBULAR DYSFUNCTION"
"535","OCCURRENCE RENAL PROXIMAL TUBULAR NECROSIS","RENAL TUBULAR DYSFUNCTION"
"536","N/A HYPOXIA","16P112 DISTAL DELETION SYNDROME"
"537","INCREASE THYROID-STIMULATING HORMONE TSH","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"538","DECREASED RENAL PLASMA FLOW","DECREASED PLASMA CARNITINE"
"539","DECREASED THYROXIN T4 IN SERUM","DECREASED LEVEL OF GABA IN SERUM"
"540","REDUCTION TESTOSTERONE LEVEL","ABNORMAL INSULIN LEVEL"
"541","REDUCTION PROSTAGLANDIN E2 CONCENTRATION","PROSTAGLANDIN SYNTHESIS AND REGULATION"
"542","REDUCTION EGGSHELL THICKNESS","ABNORMALITY OF CORNEAL THICKNESS"
"543","N/A GAP","SANDAL GAP"
"544","N/A HEPATOTOXICITY HEPATOPATHY INCLUDING A CONSTELLATION OF OBSERVABLE EFFECTS","OVERVIEW OF NANOPARTICLE EFFECTS"
"545","INCREASED CYCLIC ADENOSINE MONOPHOSPHATE","ELEVATED RED CELL ADENOSINE DEAMINASE LEVEL"
"546","REDUCED PROSTAGLANDIN E2 CONCENTRATION HYPOTHALAMUS","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"547","REDUCED GONADOTROPIN RELEASING HORMONE HYPOTHALAMUS","HYPOTHALAMIC GONADOTROPIN RELEASING HORMONE DEFICIENCY"
"548","REDUCED LUTEINIZING HORMONE LH PLASMA","DECREASED CIRCULATING LUTEINIZING HORMONE LEVEL"
"549","REDUCED MATURATION INDUCING STEROID PLASMA","ABNORMALITY OF SKELETAL MATURATION"
"550","INCREASED ACCUMULATION OF ALPHA2U MICROGLOBULIN PROXIMAL TUBULAR EPITHELIUM","ABNORMAL CORNEAL EPITHELIUM MORPHOLOGY"
"551","INCREASE ADENOMAS/CARCINOMAS BRONCHIOLOALVEOLAR","16P112 DISTAL DELETION SYNDROME"
"552","DECREASE SERUM THYROID HORMONE T4/T3","ABNORMAL THYROID HORMONE LEVEL"
"553","INCREASE ADENOMAS/CARCINOMAS FOLLICULAR CELL","FOLLICULAR HYPERKERATOSIS"
"554","INCREASED LUTEINIZING HORMONE LH","DECREASED CIRCULATING LUTEINIZING HORMONE LEVEL"
"555","DECREASED PROLACTIN","ABNORMAL PROLACTIN LEVEL"
"556","INCREASE ENDOMETRIAL ADENOCARCINOMAS","ENDOMETRIAL CANCER"
"557","INCREASED PLASMA TYROSINE","DECREASED PLASMA CARNITINE"
"558","INCREASED LEUTINIZING HORMONE LH","ABNORMAL CIRCULATING HORMONE LEVEL"
"559","INCREASE ADENOMAS/CARCINOMAS UROTHELIAL","16P112 DISTAL DELETION SYNDROME"
"560","DECREASED THYROXINE T4 IN SERUM","DECREASED LEVEL OF GABA IN SERUM"
"561","INCREASE RESPIRATORY OR SQUAMOUS METAPLASIA","SQUAMOUS CELL CARCINOMA"
"562","INCREASED BLOOD URIC ACID CONCENTRATION INCREASED BLOOD URIC ACID CONCENTRATION","ABNORMAL BLOOD GLUCOSE CONCENTRATION"
"563","INCREASED BLOOD POTASSIUM CONCENTRATION INCREASED BLOOD POTASSIUM CONCENTRATION","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
"564","OCCURRENCE TOPHI URATE DEPOSITION OCCURRENCE TOPHI URATE DEPOSITION","16P112 DISTAL DELETION SYNDROME"
"565","INCREASE CANCER","BLADDER CANCER"
"566","INCREASED FREE SERUM THYROXINE T4","INCREASED SERUM SEROTONIN"
"567","REDUCED ESTRADIOL IN CIRCULATION REDUCED STEROIDOGENIC PRODUCTION OF ESTRADIOL IN GRANULOSA CELLS LEADING TO DECREASED ESTRADIOL IN CIRCULATION","ABNORMALITY OF PULMONARY CIRCULATION"
"568","DECREASED SERUM T4/T3","DECREASED LEVEL OF GABA IN SERUM"
"569","INCREASED THYROID-STIMULATING HORMONE TSH","HUMAN THYROID STIMULATING HORMONE TSH SIGNALING PATHWAY"
"570","INCREASED APOPTOSIS ADENOMAS/CARCINOMAS FOLLICULAR CELL","APOPTOSIS"
"571","INCREASED FIRBROSARCOMA","INCREASED HEMOGLOBIN"
"572","INCREASED LIPOSARCOMA","INCREASED HEMOGLOBIN"
"573","INCREASED HEMAGIOSARCOMA","INCREASED HEMOGLOBIN"
"574","PROMOTION MESOVARIAN LEIOMYOMAS","16P112 DISTAL DELETION SYNDROME"
"575","DECREASED OVARIAN E2","ABNORMAL OVARIAN MORPHOLOGY"
"576","PROMOTION OVARIAN ADENOMAS","ABNORMAL OVARIAN MORPHOLOGY"
"577","DECREASE E2 BLOOD CONCENTRATIONS AT HYPOTHALAMUS","ABNORMAL HYPOTHALAMUS PHYSIOLOGY"
"578","PROLONGED ELEVATION OF SERUM CCK","PROLONGED NEONATAL JAUNDICE"
"579","SQUAMOUS METAPLASIA ABERRANT BASAL CELLS","SQUAMOUS CELL CARCINOMA"
"580","INCREASED ADENOSQUAMOUS CARCINOMAS OF ENDOMETRIUM","ABNORMALITY OF THE ENDOMETRIUM"
"581","INCREASED PROLACTIN EXPOSURE","INCREASED CIRCULATING PROLACTIN CONCENTRATION"
"582","INCREASED ADENOMAS/CARCINOMAS MAMMARY","INCREASED HEMOGLOBIN"
"583","INCREASED MESOTHELIOMAS","INCREASED HEMOGLOBIN"
"584","DECREASED THYROXINE T4 IN TISSUES","ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES"
"585","DECREASED TRIIODOTHYRONINE T3 IN TISSUES","ABNORMALITY OF BLOOD AND BLOOD FORMING TISSUES"
"586","DECREASED PROSTAGLANDIN F2ALPHA CONCENTRATION PLASMA","DECREASED PLASMA CARNITINE"
"587","INCREASED BLOOD POTASSIUM CONCENTRATION","ABNORMAL BLOOD POTASSIUM CONCENTRATION"
