AOP,AOP name,Event,Event Process,Event Action,Level of Organisation,Process_merged,Ontology_ID,Object,Ontology_ID,Action,Ontology_ID,Cell Context,  ,Organ Context,Ontology_ID
Aop:4,Ecdysone receptor agonism leading to mortality,Event:990,Incomplete ecdysis,Increased,Organ,chitin biosynthetic process,GO:0006031,chitin,CHEBI:17029,increased process quality,PATO:0002304,,,dermal skeleton,UBERON:0010364
Aop:3,Inhibition of the mitochondrial complex I of nigra-striatal neurons leads to parkinsonian motor deficits,Event:888,NADH-ubiquinone oxidoreductase (complex I),Binding of inhibitor,Molecular,"mitochondrial electron transport, NADH to ubiquinone",GO:0006120,NADH-ubiquinone oxidoreductase chain 1,PR:000031316,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:15,Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,Event:155,Insufficient or incorrect DNA repair,N/A,Cellular,dna repair,GO:0006281,DNA,CHEBI:16991,insufficient,PATO:0001628,eukaryotic cell,CL:0000255,,
Aop:46,AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC),Event:493,Insufficient repair or mis-repair of pro-mutagenic DNA adducts,Increased,Molecular,dna repair,GO:0006281,nuclear DNA,67194,insufficient ,PATO:0001628,hepatocyte,CL:0000182,,
Aop:80,Nicotinic acetylcholine receptor activation contributes to accumulation of damaged mitochondrial DNA and leads to colony loss/failure,Event:664,Mitochondrial DNA repair mechanisms,Overwhelmed,Cellular,DNA repair,GO:0006281,Mitochondrial deoxyribonucleic acid,67199,abnormal,PATO:0000460,eukaryotic cell,CL:0000255,,
Aop:139,Alkylation of DNA leading to cancer 4,Event:155,Insufficient or incorrect DNA repair,N/A,Cellular,dna repair,GO:0006281,DNA,CHEBI:16991,insufficient,PATO:0001628,eukaryotic cell,CL:0000255,,
Aop:141,Alkylation of DNA leading to cancer 5,Event:155,Insufficient or incorrect DNA repair,N/A,Cellular,dna repair,GO:0006281,DNA,CHEBI:16991,insufficient,PATO:0001628,eukaryotic cell,CL:0000255,,
Aop:207,NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans : Case study on silver nanoparticle,Event:1281,DNA Damage-Repair,Increased,Cellular,dna repair,GO:0006281,DNA,CHEBI:16991,increased process quality        ,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:15,Alkylation of DNA in male pre-meiotic germ cells leading to heritable mutations,Event:97,DNA,Alkylation,Molecular,DNA alkylation,GO:0006305,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:46,AFB1: Mutagenic Mode-of-Action leading to Hepatocellular Carcinoma (HCC),Event:373,Pro-mutagenic DNA Adducts,Formation,Molecular,DNA alkylation,GO:0006305,nuclear DNA,67194,deviation(from_normal),PATO:0000069,hepatocyte,CL:0000182,,
Aop:139,Alkylation of DNA leading to cancer 1,Event:97,DNA,Alkylation,Molecular,DNA alkylation,GO:0006305,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:141,Alkylation of DNA leading to cancer 2,Event:97,DNA,Alkylation,Molecular,DNA alkylation,GO:0006305,DNA,CHEBI:16991,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:200,Estrogen receptor activation leading to breast cancer,Event:1240,Protein Production,Altered,Cellular,translation,GO:0006412,protein,PR:000000001,deviation(from_normal),PATO:0000069,eukaryotic cell,CL:0000255,,
Aop:42,Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:54,Inhibition of Na+/I- symporter (NIS) decreases TH synthesis leading to learning and memory deficits in children,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:65,XX Inhibition of Sodium Iodide Symporter and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:128,Kidney dysfunction by decreased thyroid hormone,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:134,Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:159,Thyroperoxidase inhibition leading to reduced young of year survival via anterior swim bladder inflation,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:175,Thyroperoxidase inhibition leading to altered amphibian metamorphosis,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:176,Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:188,Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:192,Pendrin inhibition leading to altered amphibian metamorphosis,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:193,Dual oxidase (DUOX) inhibition leading to altered amphibian metamorphosis,Event:277,Thyroid hormone synthesis,Decreased,Molecular,thyroid hormone generation,GO:0006590,thyroid hormone,CHEBI:60311,decreased process quality,PATO:0002302,thyroid follicular cell,CL:0002258,,
Aop:166,PPARalpha activation leading to pancreatic acinar tumors in the rat and mouse,Event:1060,lipid metabolism,Alteration,Cellular,lipid metabolic process,GO:0006629,,,deviation(from_normal),PATO:0000069,eukaryotic cell,CL:0000255,,
Aop:34,LXR activation leading to hepatic steatosis,Event:89,De Novo FA,Synthesis,Cellular,fatty acid biosynthetic process,GO:0006633,fatty acid,CHEBI:35366,increased process quality,PATO:0002304,hepatocyte,CL:0000182,,
Aop:58,NR1I3 (CAR) suppression leading to hepatic steatosis,Event:458,De Novo FA synthesis,Increased,Cellular,fatty acid biosynthetic process,GO:0006633,fatty acid,CHEBI:35366,increased process quality,PATO:0002304,hepatocyte,CL:0000182,,
Aop:61,NFE2L2/FXR activation leading to hepatic steatosis,Event:882,De Novo FA synthesis,Decreased,Cellular,fatty acid biosynthetic process,GO:0006633,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:6,Antagonist binding to PPARalpha leading to starvation-like body-weight loss,Event:859,Peroxisomal Fatty Acid Beta Oxidation of Fatty Acids,Decreased,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:6,Antagonist binding to PPARalpha leading to starvation-like body-weight loss,Event:860,Mitochondrial Fatty Acid Beta Oxidation,Decreased,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:36,Peroxisomal Fatty Acid Beta-Oxidation Inhibition Leading to Steatosis,Event:179,Mitochondrial fatty acid beta-oxidation,Decreased,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:57,AhR activation leading to hepatic steatosis,Event:451,Mitochondrial fatty acid beta-oxidation,Inhibition,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:58,NR1I3 (CAR) suppression leading to hepatic steatosis,Event:451,Mitochondrial fatty acid beta-oxidation,Inhibition,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:60,"NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis",Event:179,Mitochondrial fatty acid beta-oxidation,Decreased,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:61,NFE2L2/FXR activation leading to hepatic steatosis,Event:451,Mitochondrial fatty acid beta-oxidation,Inhibition,Molecular,fatty acid beta-oxidation,GO:0006635,fatty acid,CHEBI:35366,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:209,Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP ,Event:1285,Unsaturated fatty acid,Up Regulation,Cellular,unsaturated fatty acid biosynthetic process,GO:0006636,unsaturated fatty acid,CHEBI:27208,increased process quality        ,PATO:0002304,hepatocyte,CL:0000182,,
Aop:70,Modulation of Adult Leydig Cell Function Subsequent to Proteomic Alterations in the Adult Leydig Cell,Event:640,Proteomic alterations in the adult Leydig cell,Decreased steroidogenesis,Molecular,steroid biosynthetic process,GO:0006694,,,decreased process quality,PATO:0002302,Leydig cell,CL:0000178,,
Aop:69,Modulation of Adult Leydig Cell Function Subsequent to Decreased Cholesterol Synthesis or Transport in the Adult Leydig Cell,Event:642,Decreased De Novo Biosynthesis of Choleseterol,Decreased Cholesterol,Molecular,cholesterol biosynthetic process,GO:0006695,cholesterol,CHEBI:16113,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:7,Aromatase (Cyp19a1) reduction leading to impaired fertility in adult female,Event:3,17beta-estradiol synthesis by ovarian granulosa cells,Reduction,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:23,Androgen receptor agonism leading to reproductive dysfunction,Event:3,17beta-estradiol synthesis by ovarian granulosa cells,Reduction,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:25,Aromatase inhibition leading to reproductive dysfunction,Event:3,17beta-estradiol synthesis by ovarian granulosa cells,Reduction,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:122,Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation,Event:3,17beta-estradiol synthesis by ovarian granulosa cells,Reduction,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:123,Unknown MIE leading to reproductive dysfunction via increased HIF-1alpha transcription,Event:3,17beta-estradiol synthesis by ovarian granulosa cells,Reduction,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:153,Aromatase Inhibition leading to Ovulation Inhibition and Decreased Fertility in Female Rats,Event:965,Reduced steroidogenic production of estradiol in granulosa cells,reduction in ovarian granulosa cells synthesis of estradiol,Cellular,estrogen biosynthetic process,GO:0006703,17beta-estradiol,CHEBI:16469,decreased process quality,PATO:0002302,granulosa cell,CL:0000501,,
Aop:71,Modulation of Adult Leydig Cell Function Subsequent to Glucocorticoid Activation,Event:650,Increased Glucocorticoid,Stimulation of adult Leydig cells via the Adrenal Corticosterone,Molecular,glucocorticoid biosynthetic process,GO:0006704,glucocorticoid,CHEBI:24261,increased process quality,PATO:0002304,Leydig cell,CL:0000178,,
Aop:209,Perturbation of cholesterol and glutathione homeostasis leading to hepatotoxicity: Integrated multi-OMICS approach for building AOP ,Event:1287,Glutathione synthesis,,Cellular,glutathione biosynthetic process,GO:0006750,glutathione,CHEBI:16856,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:26,Calcium-mediated neuronal ROS production and energy imbalance,Event:40,ATP production,Decreased,Cellular,ATP biosynthetic process,GO:0006754,ATP,CHEBI:15422,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:187,Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,Event:1138,Reduced ability to generate ATP,Uncoupling of oxidative phosphorylation,Molecular,ATP biosynthetic process,GO:0006754,ATP,CHEBI:15422,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:31,Oxidation of iron in hemoglobin leading to hematotoxicity,Event:213,Parent compound is converted to the reactive metabolite and forms free radicals leading to oxidation of heme iron(II) in hemoglobin to iron(III),N/A,Molecular,heme oxidation,GO:0006788,,,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:149,Oxidative Stress Leading to Hypertension,Event:933,Nitric Oxide,Depletion,Cellular,nitric oxide biosynthetic process,GO:0006809,nitric oxide,CHEBI:16480,decreased concentration,PATO:0001163,,,blood,UBERON:0000178
Aop:27,Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11),Event:41,Bile Salt Export Pump (ABCB11),Inhibition,Molecular,transport,GO:0006810,bile salt export pump,PR:000003549,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:152,Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity,Event:960,Uptake of thyroxine into tissue,Increased,Cellular,transport,GO:0006810,thyroxine,CHEBI:30660,increased process quality,PATO:0002304,,,,
Aop:187,Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage,Event:1132,"Impaired oxygen delivery and nutrient delivery to tissue, impaired carbon dioxide and waste product removal",Blood loss and development of anemia,Cellular,transport,GO:0006810,nutrient ,CHEBI:33284,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:194,Hepatic nuclear receptor activation leading to altered amphibian metamorphosis,Event:1158,Hepatic thyroid hormone uptake/transport,Increased,Tissue,transport,GO:0006810,thyroid hormone,CHEBI:60311,increased process quality,PATO:0002304,hepatocyte,CL:0000182,,
Aop:197,Sodium channel (Nav1.1) inhibition leading to population decline,Event:1176,sodium conductance,Decreased,Cellular,transport,GO:0006810,sodium ion,CHEBI:29101,decreased process quality,PATO:0002302,,,,
Aop:197,Sodium channel (Nav1.1) inhibition leading to population decline,Event:1179,GABA release,Decreased,Cellular,transport,GO:0006810,gamma-aminobutyric acid,CHEBI:16865,decreased process quality,PATO:0002302,,,,
Aop:12,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration in aging,Event:52,Calcium influx,Decreased,Cellular,calcium ion transport,GO:0006816,calcium ion,CHEBI:39124,decreased process quality,PATO:0002302,neuron,CL:0000540,,
Aop:13,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,Event:52,Calcium influx,Decreased,Cellular,calcium ion transport,GO:0006816,calcium ion,CHEBI:39124,decreased process quality,PATO:0002302,neuron,CL:0000540,,
Aop:28,Cyclooxygenase inhibition leading reproductive failure,Event:49,Ca and HCO3 transport to shell gland,Reduction,Tissue,calcium ion transport,GO:0006816,calcium ion,CHEBI:39124,decreased process quality,PATO:0002302,,,oviduct shell gland,UBERON:0008975
Aop:196,Adverse outcome pathway for airway irritation and chemical sensitization,Event:1218,Calcium influx,Opening of calcium channel,Cellular,calcium ion transport,GO:0006816,calcium ion,CHEBI:39124,increased process quality,PATO:0002304,calcium channel complex,GO:0034704,,
Aop:18,PPARalpha activation in utero leading to impaired fertility in males,Event:447,Cholesterol transport in mitochondria,Reduction,Cellular,mitochondrial transport,GO:0006839,cholesterol,CHEBI:16113,decreased process quality,PATO:0002302,steroid hormone secreting cell,CL:0000174,,
Aop:51,PPARalpha activation leading to impaired fertility in adult male rodents,Event:447,Cholesterol transport in mitochondria,Reduction,Cellular,mitochondrial transport,GO:0006839,cholesterol,CHEBI:16113,decreased process quality,PATO:0002305,steroid hormone secreting cell,CL:0000174,,
Aop:23,Androgen receptor agonism leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,receptor-mediated endocytosis,GO:0006898,vitellogenins,D014819,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:25,Aromatase inhibition leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,receptor-mediated endocytosis,GO:0006898,vitellogenins,D014819,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:30,Estrogen receptor antagonism leading to reproductive dysfunction,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,receptor-mediated endocytosis,GO:0006898,vitellogenins,D014819,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:57,AhR activation leading to hepatic steatosis,Event:467,LDL uptake,Increased,Cellular,receptor-mediated endocytosis,GO:0006898,low density lipoprotein,CHEBI:39026,increased process quality,PATO:0002304,hepatocyte,CL:0000182,,
Aop:122,Prolyl hydroxylase inhibition leading to reproductive dysfunction via increased HIF1 heterodimer formation,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,receptor-mediated endocytosis,GO:0006898,vitellogenins,D014819,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:123,Unknown MIE leading to reproductive dysfunction via increased HIF-1alpha transcription,Event:309,Vitellogenin accumulation into oocytes and oocyte growth/development,Reduction,Cellular,receptor-mediated endocytosis,GO:0006898,vitellogenins,D014819,decreased process quality,PATO:0002302,ooctye,CL:0000023,,
Aop:41,Sustained AhR Activation leading to Rodent Liver Tumours,Event:853,Cellular Homeostasis and Apoptosis,Changes/Inhibition,Cellular,apoptotic process,GO:0006915,,,decreased process quality,PATO:0002302,hepatocyte,CL:0000182,,
Aop:64,Glucocorticoid Receptor (GR) Mediated Adult Leydig Cell Dysfunction Leading to Decreased Male Fertility,Event:496,decreased number of adult Leydig Cells,Increased apoptosis,Cellular,apoptotic process,GO:0006915,,,increased process quality,PATO:0002304,Leydig cell,CL:0000178,,
Aop:70,Modulation of Adult Leydig Cell Function Subsequent to Proteomic Alterations in the Adult Leydig Cell,Event:648,Increased Apoptosis of Adult Leydig Cells,Decreased steroidogenesis,Tissue,apoptotic process,GO:0006915,Leydig cell,CL:0000178,increased process quality,PATO:0002304,,,testis,UBERON:0000473
Aop:71,Modulation of Adult Leydig Cell Function Subsequent to Glucocorticoid Activation,Event:525,Decreased testosterone by adult Leydig cells,Apoptosis of adult Leydig cells,Cellular,apoptotic process,GO:0006915,,,increased process quality,PATO:0002304,Leydig cell,CL:0000178,,
Aop:200,Estrogen receptor activation leading to breast cancer,Event:1183,Apoptosis (Epithelial Cells),Decreased,Cellular,apoptotic process,GO:0006915,,,decreased process quality,PATO:0002302, epithelial cell,CL:0000066,,
AOP:205,AOP from chemical insult to cell death,Event:1262,Apoptosis,,Tissue,apoptotic process,GO:0006915,,,increased process quality        ,PATO:0002304,,,,
Aop:207,NADPH oxidase and P38 MAPK activation leading to reproductive failure in Caenorhabditis elegans : Case study on silver nanoparticle,Event:1262,Apoptosis,,Tissue,apoptotic process,GO:0006915,,,increased process quality        ,PATO:0002304,,,,
Aop:4,Ecdysone receptor agonism leading to mortality,Event:993,Abdominal muscle contraction,Reduction,Organ,muscle contraction,GO:0006936,,,increased process quality,PATO:0002304,,,dermal skeleton,UBERON:0010364
Aop:96,Axonal sodium channel modulation leading to acute mortality,Event:601,muscle contraction,Overactivation,Tissue,muscle contraction,GO:0006936,,,increased process quality,PATO:0002304,,,muscle tissue,UBERON:0002385
Aop:27,Cholestatic Liver Injury induced by Inhibition of the Bile Salt Export Pump (ABCB11),Event:149,Inflammation,Increase,Cellular,inflammatory response,GO:0006954,,,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:62,AKT2 activation leading to hepatic steatosis,Event:486,systemic inflammation leading to hepatic steatosis,,Organ,inflammatory response,GO:0006954,,,occurrence,PATO:0000057,,,,
Aop:114,HPPD inhibition leading to corneal papillomas and carcinomas (in rat),Event:777,Inflammation (corneal cells),Increase,Cellular,inflammatory response,GO:0006954,corneal epithelial cell,CL:0000575,increased process quality,PATO:0002304,corneal epithelial cell,CL:0000575,,
Aop:115,Epithelial cytotoxicity leading to forestomach tumors (in mouse and rat),Event:149,Inflammation,Increase,Cellular,inflammatory response,GO:0006954,,,increased process quality,PATO:0002304,,,,
Aop:144,Lysosomal damage leading to liver inflammation,Event:901,Inflammatory cells,Infiltration,Tissue,inflammatory response,GO:0006954,,,increased process quality,PATO:0002304,,,liver,UBERON:0002107
Aop:171,Chronic cytotoxicity of the serous membrane leading to pleural/peritoneal mesotheliomas in the rat.,Event:1087,inflammation,Increased,Cellular,inflammatory response,GO:0006954,,,increased process quality,PATO:0002304,,,,
Aop:196,Adverse outcome pathway for airway irritation and chemical sensitization,Event:1225,Immune system response,Leukocyte recruitment,Tissue,inflammatory response,GO:0006954,,,increased process quality,PATO:0002304,,,immune system,UBERON:0002405
Aop:196,Adverse outcome pathway for airway irritation and chemical sensitization,Event:1226,Respiratory irritability,Chronic Cough,Individual,inflammatory response,GO:0006954,respiratory system,UBERON:0001004,increased process quality,PATO:0002304,,,,
Aop:196,Adverse outcome pathway for airway irritation and chemical sensitization,Event:1237,Immune system,Sensitization,Individual,immune response,GO:0006955,,,increased process quality,PATO:0002304,,,,
AOP:205,AOP from chemical insult to cell death,Event:1259,narcosis,,Cellular,plasma membrane organization,GO:0007009,,,abnormal,PATO:0000460,eukaryotic cell,CL:0000255,,
Aop:70,Modulation of Adult Leydig Cell Function Subsequent to Proteomic Alterations in the Adult Leydig Cell,Event:649,Alterations in the Leydig Cell Cytoskeleton,Decreased steroidogenesis,Tissue,cytoskeleton organization,GO:0007010,Leydig cell,CL:0000178,deviation(from_normal),PATO:0000069,,,testis,UBERON:0000473
Aop:106,Chemical binding to tubulin in oocytes leading to aneuploid offspring,Event:720,Microtubule,Depolymerization,Molecular,microtubule depolymerisation,GO:0007019,microtubule,GO:0005874,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:106,Chemical binding to tubulin in oocytes leading to aneuploid offspring,Event:721,Spindle,Disorganization,Cellular,spindle organization,GO:0007051,spindle,GO:0005819,decreased process quality,PATO:0002302,female germ cell,CL:0000021,,
Aop:103,Cyclooxygenase inhibition leading to reproductive dysfunction via interference with spindle assembly checkpoint,Event:696,Chromosome misseggregation,Increased,Cellular,chromosome segregation,GO:0007059,,,deviation(from_normal),PATO:0000069,ooctye,CL:0000025,,
Aop:14,Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility,Event:202,Nuclear factor kappa B (NF-kB),Inhibition,Molecular,I-kappaB kinase/NF-kappaB signaling,GO:0007249,transcription factor NF-kappa-B subunit,PR:000001753,decreased process quality,PATO:0002302,eukaryotic cell,CL:0000255,,
Aop:14,Glucocorticoid Receptor Activation Leading to Increased Disease Susceptibility,Event:145,IKB inhibitory protein,Induction,Cellular,I-kappaB phosphorylation,GO:0007252,NF-kappa-B inhibitor,PR:000003292,increased process quality,PATO:0002304,eukaryotic cell,CL:0000255,,
Aop:8,"Upregulation of Thyroid Hormone Catabolism via Activation of Hepatic Nuclear Receptors, and Subsequent Adverse Neurodevelopmental Outcomes in Mammals",Event:758,Hippocampal function,Decreased,Tissue,chemical synaptic transmission,GO:0007268,,,abnormal,PATO:0000460,,,brain,UBERON:0000955
Aop:10,Binding to the picrotoxin site of ionotropic GABA receptors leading to epileptic seizures,Event:669,Neuronal synaptic inhibition,Reduction,Cellular,synaptic transmission,GO:0007268,,,decreased process quality,PATO:0002302,neuron,CL:0000540,,
Aop:42,Inhibition of Thyroperoxidase and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,Event:758,Hippocampal function,Decreased,Tissue,chemical synaptic transmission,GO:0007268,,,abnormal,PATO:0000460,,,brain,UBERON:0000955
Aop:134,Sodium Iodide Symporter (NIS) Inhibition and Subsequent Adverse Neurodevelopmental Outcomes in Mammals,Event:758,Hippocampal function,Decreased,Tissue,chemical synaptic transmission,GO:0007268,,,abnormal,PATO:0000460,,,brain,UBERON:0000955
Aop:152,Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity,Event:758,Hippocampal function,Decreased,Tissue,chemical synaptic transmission,GO:0007268,,,abnormal,PATO:0000460,,,brain,UBERON:0000955
Aop:96,Axonal sodium channel modulation leading to acute mortality,Event:600,Neuronotransmitter release,Overactivation,Molecular,neurotransmitter secretion,GO:0007269,,,increased process quality,PATO:0002304,neuron,CL:0000540,,
Aop:153,Aromatase Inhibition leading to Ovulation Inhibition and Decreased Fertility in Female Rats,Event:968,Decreased hypothalamic estrogen reduces kisspeptinergic neuron response,Decreased Kisspeptin release from neurons in AVPV,Cellular,neurotransmitter secretion,GO:0007269,metastasis-suppressor KiSS-1 (rat),PR:Q7TSB7,decreased process quality,PATO:0002302,,,anteroventral periventricular nucleus,UBERON:0002690
Aop:13,Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities,Event:385,Synaptogenesis,Decreased,Cellular,synapse assembly,GO:0007416,Synapse,GO:0045202,decreased process quality,PATO:0002302,neuron,CL:0000540,,
Aop:54,Inhibition of Na+/I- symporter (NIS) decreases TH synthesis leading to learning and memory deficits in children,Event:385,Synaptogenesis,Decreased,Cellular,synapse assembly,GO:0007416,Synapse,GO:0045202,decreased process quality,PATO:0002302,neuron,CL:0000540,,
Aop:175,Thyroperoxidase inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:176,Sodium Iodide Symporter (NIS) Inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:188,Iodotyrosine deiodinase (IYD) inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:189,Type I iodothyronine deiodinase (DIO1) inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:190,Type II iodothyronine deiodinase (DIO2) inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:191,Type III iodotyrosine deiodinase (DIO3) inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
Aop:192,Pendrin inhibition leading to altered amphibian metamorphosis,Event:1101,Amphibian metamorphosis,Altered,Organ,metamorphosis,GO:0007552,,,increased process quality,PATO:0002304,,,,
